_id	vector_id	timestamp	speed	elapsed	level_of_service	cin_id	creation_time
69551	311	2016-09-03T17:20:00Z	25.37675	4052.0	green	cin19970103T092804852283684140234834568960	1472923395
69555	285	2016-09-04T10:11:00Z	44.37661	667.0	green	cin19970103T231452852333292140234834568960	1472983996
69556	277	2016-09-04T05:34:00Z	4.765291	4702.0	red	cin19970104T050939852354579140234834568960	1472967340
69557	290	2016-09-02T22:19:00Z			green	cin19970104T065134852360694140541396252416	1472854856
69558	280	2016-09-04T08:06:00Z	32.626755	1335.0	green	cin19970104T122702852380822140234817783552	1472976477
69561	308	2016-09-03T10:38:00Z	24.424078	1030.0	yellow	cin19970104T213747852413867140234817783552	1472899217
69563	315	2016-09-02T20:53:00Z	4.21609	7719.0	green	cin19970105T053306852442386140541629155072	1472849660
69565	283	2016-09-03T20:06:00Z	29.6158	3931.0	green	cin19970105T150046852476446140234826176256	1472933231
69566	311	2016-09-04T13:29:00Z	5.166506	5632.0	yellow	cin19970105T194310852493390140234826176256	1472995836
69569	311	2016-09-02T17:37:00Z	5.420166	4598.0	yellow	cin19970106T004620852511580140541320750848	1472837960
69571	312				yellow	cin19970106T073337852536017139983568594688	1468093273
69573	284	2016-09-04T13:30:00Z	8.445208	7168.0	yellow	cin19970106T131444852556484140234941646592	1472995927
69576	290	2016-09-03T03:54:00Z	73.93846	13.0	green	cin19970106T175820852573500140234842961664	1472874928
69578	283	2016-09-03T05:14:00Z			green	cin19970107T000332852595412140234809390848	1472879808
69580	290				yellow	cin19970107T072437852621877139982983395072	1468085035
69581	310	2016-09-02T16:40:00Z	17.196985	3981.0	green	cin19970107T092510852629110140541637547776	1472834512
69585	312	2016-09-02T17:11:00Z	44.811066	1956.0	green	cin19970108T010740852685660140541379467008	1472836389
69587	311	2016-09-02T18:29:00Z	14.133933	4546.0	yellow	cin19970108T135135852731495140541396252416	1472841036
69589	276	2016-09-02T15:27:00Z	39.15632	1084.0	green	cin19970109T011639852772599140541629155072	1472830169
69590	316	2016-09-04T22:41:00Z	2.8546789	11317.0	red	cin19970109T025714852778634140234817783552	1473028971
69593	282	2016-09-03T16:25:00Z	72.36275	476.0	green	cin19970109T100230852804150140234941646592	1472919963
